x,y,temperature [K]
0.0,0.0,300.0
0.1,0.0,279.99999999999994
0.2,0.0,259.99999999999994
0.3,0.0,240.0
0.4,0.0,219.99999999999994
0.5,0.0,200.0
0.6,0.0,180.00000000000003
0.7,0.0,160.00000000000003
0.8,0.0,140.00000000000003
0.9,0.0,120.00000000000001
1.0,0.0,100.0
0.0,0.1,300.0
0.1,0.1,279.99999999999994
0.2,0.1,260.0
0.3,0.1,239.99999999999994
0.4,0.1,220.0
0.5,0.1,200.0
0.6,0.1,180.00000000000003
0.7,0.1,160.0
0.8,0.1,140.00000000000006
0.9,0.1,120.0
1.0,0.1,100.0
0.0,0.2,300.0
0.1,0.2,280.0000000000001
0.2,0.2,259.99999999999994
0.3,0.2,239.99999999999994
0.4,0.2,220.0
0.5,0.2,200.0
0.6,0.2,180.0
0.7,0.2,160.0
0.8,0.2,140.0
0.9,0.2,120.00000000000007
1.0,0.2,100.0
0.0,0.3,300.0
0.1,0.3,280.0
0.2,0.3,260.0
0.3,0.3,239.99999999999997
0.4,0.3,220.00000000000003
0.5,0.3,200.00000000000006
0.6,0.3,180.00000000000003
0.7,0.3,159.99999999999997
0.8,0.3,139.99999999999997
0.9,0.3,119.99999999999999
1.0,0.3,100.0
0.0,0.4,300.0
0.1,0.4,280.0
0.2,0.4,259.99999999999994
0.3,0.4,240.0
0.4,0.4,220.00000000000006
0.5,0.4,200.00000000000003
0.6,0.4,180.0
0.7,0.4,160.00000000000003
0.8,0.4,140.00000000000003
0.9,0.4,120.00000000000001
1.0,0.4,100.0
0.0,0.5,300.0
0.1,0.5,279.99999999999994
0.2,0.5,260.0
0.3,0.5,240.00000000000003
0.4,0.5,220.0
0.5,0.5,200.00000000000006
0.6,0.5,180.00000000000006
0.7,0.5,160.00000000000006
0.8,0.5,140.00000000000003
0.9,0.5,120.00000000000001
1.0,0.5,100.0
0.0,0.6,300.0
0.1,0.6,280.0
0.2,0.6,259.99999999999994
0.3,0.6,239.99999999999994
0.4,0.6,220.0
0.5,0.6,200.0
0.6,0.6,180.0
0.7,0.6,160.00000000000003
0.8,0.6,139.99999999999997
0.9,0.6,119.99999999999996
1.0,0.6,100.0
0.0,0.7,300.0
0.1,0.7,279.99999999999994
0.2,0.7,260.0000000000001
0.3,0.7,240.0
0.4,0.7,219.99999999999994
0.5,0.7,199.99999999999997
0.6,0.7,179.99999999999997
0.7,0.7,159.99999999999994
0.8,0.7,140.0
0.9,0.7,119.99999999999993
1.0,0.7,100.0
0.0,0.8,300.0
0.1,0.8,280.00000000000006
0.2,0.8,260.00000000000006
0.3,0.8,239.99999999999994
0.4,0.8,219.99999999999991
0.5,0.8,199.99999999999991
0.6,0.8,179.9999999999999
0.7,0.8,159.9999999999999
0.8,0.8,139.99999999999994
0.9,0.8,119.99999999999994
1.0,0.8,100.0
0.0,0.9,300.0
0.1,0.9,280.0
0.2,0.9,259.99999999999994
0.3,0.9,240.0
0.4,0.9,220.00000000000006
0.5,0.9,199.9999999999999
0.6,0.9,179.99999999999986
0.7,0.9,159.9999999999999
0.8,0.9,139.99999999999991
0.9,0.9,119.99999999999991
1.0,0.9,100.0
0.0,1.0,300.0
0.1,1.0,280.0
0.2,1.0,260.0
0.3,1.0,240.00000000000009
0.4,1.0,220.0
0.5,1.0,199.99999999999991
0.6,1.0,179.9999999999999
0.7,1.0,159.9999999999999
0.8,1.0,139.99999999999994
0.9,1.0,119.99999999999991
1.0,1.0,100.0
